# eV     nm      cm^-1        oscillator_strength
3.29523 376.51413 26577.83209 0.44439
4.02554 308.20726 32468.18140 0.00000
4.31112 287.79061 34771.56310 0.00269
4.53287 273.71215 36560.04738 0.00000
4.94849 250.72309 39912.27699 0.00000
4.95099 250.59655 39932.43003 0.00000
5.17694 239.65909 41754.85045 0.00000
5.18222 239.41515 41797.39331 0.00000
5.66452 219.03017 45687.44773 0.79503
5.93199 209.15443 47844.69153 0.00001
6.23564 198.96920 50293.86141 0.00000
6.32353 196.20390 51002.70243 0.00000
6.33589 195.82122 51102.37483 0.30944
6.40183 193.80424 51634.21195 0.00000
6.60044 187.97253 53236.12613 0.06637
6.63025 187.12721 53476.61339 0.00000
6.69540 185.30659 54002.01606 0.00000
6.80828 182.23416 54912.47853 0.57209
6.89975 179.81837 55650.20643 0.00000
6.94874 178.55062 56045.33571 0.11990
