# eV       nm         oscillator_strength
7.09388180 174.89734605 0.00127571
8.78637665 141.20736556 0.04668358
9.07683682 136.68870826 0.00527672
9.84015123 126.08557242 0.02061997
10.04527639 123.51089721 0.05505596
10.47403387 118.45494440 0.13645543
10.76507188 115.25246783 0.00542225
11.56562383 107.27489653 0.06613219
11.64114135 106.57899108 0.02203370
11.80577768 105.09270411 0.13632952
12.21965899 101.53320164 0.11638860
12.68473960 97.81052972 0.01085564
13.08039876 94.85193245 0.20055660
13.41736905 92.46977524 0.05668456
13.97877654 88.75605787 0.00204800
14.07483236 88.15032875 0.07631870
14.40223013 86.14645712 0.05315854
14.45162582 85.85200829 0.32045462
15.19995914 81.62529180 0.13008706
15.31480548 81.01318048 0.14190996
